DT,COMP_PRD_NO,COMP_STOCK_NO,BASE_QTY,INCM_QTY,END_QTY,ORD_CNT,ORD_QTY,MIN_ACTUAL_PAY,MED_ACTUAL_PAY,EVNT_11ST_2016,EVNT_MW_HOT_ISSUE,EVNT_MW_SHCK_DEAL,EVNT_MW_LOWER_BANS,EVNT_NOW_BANS,EVNT_OTHERS
2017-09-19,1624714294,6252686295,1566,640,2172,25,41,18190,20435,N,N,N,N,Y,N
2017-09-17,1624714294,6252686295,1608,0,1586,2,3,20640,20640,N,N,N,N,N,N
2017-09-18,1624714294,6252686295,1586,0,1566,15,30,18188,20435,N,N,N,N,Y,N
2017-09-20,1624714294,6252686295,2172,0,2104,34,66,18188,18370,N,N,N,N,Y,N
2017-09-23,1624714294,6252686295,2845,0,2845,44,52,15840,17880,N,N,N,N,Y,N
2017-09-21,1624714294,6252686295,2104,640,2708,16,29,17370,19045,N,N,N,N,Y,N
2017-09-22,1624714294,6252686295,2708,332,2845,244,271,14900,16900,N,N,N,N,Y,Y
2017-09-24,1624714294,6252686295,2845,0,2679,47,57,14900,17960,N,N,N,N,Y,N
2017-09-27,1624714294,6252686295,2404,0,2271,97,121,15840,17960,N,N,N,N,Y,N
2017-09-25,1624714294,6252686295,2679,0,2525,126,171,15840,17960,N,N,N,N,Y,N
2017-09-26,1624714294,6252686295,2525,0,2404,85,112,15840,17960,N,N,N,N,Y,N
2017-09-28,1624714294,6252686295,2271,0,2217,26,33,18613,18800,N,N,N,N,Y,N
2017-10-01,1624714294,6252686295,2198,0,2198,21,25,17960,18800,N,N,N,N,Y,N
2017-09-29,1624714294,6252686295,2217,0,2198,19,25,18615,18800,N,N,N,N,Y,N
2017-09-30,1624714294,6252686295,2198,0,2198,27,24,16740,18620,N,N,N,N,Y,N
2017-10-02,1624714294,6252686295,2198,0,2198,11,10,17960,19410,N,N,N,N,Y,N
2017-10-03,1624714294,6252686295,2198,0,2198,4,5,17960,18800,N,N,N,N,Y,N
2017-10-06,1624714294,6252686295,2198,0,1982,109,124,17960,17960,N,N,N,Y,Y,N
2017-10-04,1624714294,6252686295,2198,0,2198,5,5,17960,18380,N,N,N,N,Y,N
2017-10-05,1624714294,6252686295,2198,0,2198,45,51,17960,17960,N,N,N,Y,Y,N
2017-10-07,1624714294,6252686295,1982,0,1982,29,40,16120,18710,N,N,N,N,Y,N
2017-10-10,1624714294,6252686295,1831,0,1756,41,66,19140,19140,N,N,N,N,Y,N
2017-10-08,1624714294,6252686295,1982,0,1880,27,34,17960,18800,N,N,N,N,Y,N
2017-10-09,1624714294,6252686295,1880,0,1831,52,62,17960,18800,N,N,N,N,Y,N
2017-10-11,1624714294,6252686295,1756,0,1665,86,119,16145,17965,N,N,N,N,Y,N
2017-10-14,1624714294,6252686295,1489,0,1489,37,42,17640,18370,N,N,N,N,Y,N
